OrderID,Region,Category,OrderValue,Units,OrderDate
76,Northeast,Pharmacy,2258.7,3,2025-09-10
77,East,Stationery & Books,362.28,2,2025-10-19
78,North,Toys & Games,966.99,4,2025-11-09
79,West,Pet Supplies,6241.96,4,2025-09-03
80,West,Groceries,6900.86,4,2025-10-09
81,Central,Stationery & Books,2547.01,4,2025-09-29
82,North,Toys & Games,5931.36,4,2025-11-05
83,South,Pet Supplies,703.27,4,2025-11-15
84,South,Sports & Fitness,2087.45,3,2025-10-23
85,East,Toys & Games,86.86,1,2025-10-28
86,Northeast,Stationery & Books,80.88,1,2025-10-26
87,North,Pharmacy,2289.09,4,2025-10-15
88,Northeast,Electronics,2421.83,3,2025-09-28
89,South,Pet Supplies,1728.24,3,2025-09-15
90,North,Pet Supplies,7310.2,4,2025-10-24
91,West,Pharmacy,363.74,3,2025-11-04
92,Northeast,Pet Supplies,3104.03,4,2025-11-12
93,Northeast,Beauty & Personal Care,6871.82,4,2025-11-04
94,North,Toys & Games,3948.05,2,2025-11-21
95,West,Apparel,413.69,5,2025-11-23
96,West,Sports & Fitness,433.27,1,2025-11-15
97,East,Sports & Fitness,5511.41,3,2025-10-29
98,North,Sports & Fitness,3161.19,3,2025-09-24
99,East,Home,4668.43,5,2025-11-29
100,South,Electronics,6186.23,4,2025-10-28
101,Northeast,Sports & Fitness,149.72,2,2025-09-03
102,East,Pet Supplies,3691.28,5,2025-11-10
103,East,Beauty & Personal Care,2229.04,2,2025-10-05
104,East,Electronics,147.37,4,2025-11-28
105,East,Pet Supplies,7853.83,2,2025-11-07
106,East,Pharmacy,290.36,3,2025-10-09
107,North,Groceries,5284.02,4,2025-11-29
108,North,Groceries,73.12,4,2025-10-14
109,North,Electronics,5648.38,2,2025-09-10
110,South,Pet Supplies,1388.39,4,2025-09-11
111,Central,Pet Supplies,3352.84,4,2025-09-29
112,East,Pet Supplies,951.73,1,2025-10-10
113,South,Pharmacy,128.22,1,2025-10-17
114,South,Groceries,2684.44,2,2025-11-28
115,East,Home,7429.33,5,2025-09-10
116,Northeast,Pharmacy,117.05,3,2025-11-09
117,South,Electronics,6681.8,3,2025-10-24
118,West,Electronics,7570.07,5,2025-10-09
119,Central,Sports & Fitness,244.41,3,2025-11-16
120,Central,Home,6769.69,5,2025-10-22
121,Central,Groceries,4821.85,2,2025-11-26
122,West,Stationery & Books,313.4,4,2025-10-06
123,North,Sports & Fitness,1284.5,2,2025-10-13
124,East,Toys & Games,3503.39,5,2025-10-07
125,North,Sports & Fitness,7776.39,4,2025-10-23
126,Central,Groceries,906.53,5,2025-11-09
127,East,Pet Supplies,887.09,3,2025-11-20
128,Central,Apparel,716.52,5,2025-11-29
129,South,Apparel,1199.07,1,2025-10-15
130,West,Electronics,5874.52,5,2025-09-20
131,Northeast,Home,1584.81,2,2025-10-02
132,Central,Stationery & Books,2571.86,4,2025-09-18
133,East,Stationery & Books,184.35,5,2025-10-15
134,Central,Sports & Fitness,2993.3,5,2025-11-08
135,West,Sports & Fitness,2291.04,4,2025-09-25
136,South,Toys & Games,6585.57,4,2025-10-30
137,Northeast,Apparel,484.41,3,2025-09-05
138,North,Sports & Fitness,114.87,2,2025-10-29
139,North,Sports & Fitness,5695.28,1,2025-10-04
140,East,Stationery & Books,7155.79,4,2025-10-11
141,Central,Groceries,7406.97,2,2025-10-01
142,Northeast,Electronics,5779.18,1,2025-09-13
143,West,Apparel,408.26,3,2025-09-04
144,East,Beauty & Personal Care,4744.46,2,2025-10-02
145,South,Apparel,2306.22,5,2025-10-27
146,South,Pharmacy,5501.31,4,2025-10-03
147,East,Stationery & Books,7907.39,3,2025-10-29
148,Northeast,Toys & Games,223.11,4,2025-10-09
149,North,Pharmacy,364.68,1,2025-11-13
150,Northeast,Toys & Games,6337.34,1,2025-11-02
151,Central,Sports & Fitness,2225.89,3,2025-10-07
152,South,Pharmacy,6256.03,2,2025-11-26
153,Northeast,Electronics,404.87,1,2025-11-22
154,Central,Beauty & Personal Care,2950.39,4,2025-09-12
155,South,Pharmacy,3243.93,5,2025-11-01
156,East,Apparel,2713.56,3,2025-10-30
157,North,Sports & Fitness,2192.11,4,2025-09-19
158,Central,Beauty & Personal Care,291.46,4,2025-10-27
159,East,Home,1312.6,2,2025-11-21
160,West,Groceries,5075.62,1,2025-11-11
161,Northeast,Sports & Fitness,1375.07,1,2025-10-09
162,North,Home,449.27,2,2025-09-15
163,West,Sports & Fitness,3643.45,2,2025-11-29
164,West,Electronics,7636.41,1,2025-11-18
165,Northeast,Beauty & Personal Care,6915.88,1,2025-10-29
166,Northeast,Beauty & Personal Care,3486.05,2,2025-11-22
167,North,Sports & Fitness,4978.59,1,2025-10-21
168,North,Beauty & Personal Care,2039.04,5,2025-10-19
169,South,Pet Supplies,1606.66,5,2025-10-22
170,North,Home,4551.62,2,2025-09-19
171,North,Groceries,2284.49,3,2025-10-26
172,North,Apparel,4445.64,1,2025-10-19
173,West,Sports & Fitness,276.73,5,2025-11-15
174,North,Stationery & Books,956.19,4,2025-11-22
175,West,Toys & Games,2915.84,2,2025-09-10
176,North,Apparel,5841.15,4,2025-11-04
177,Central,Stationery & Books,6448.22,1,2025-11-17
178,Northeast,Stationery & Books,7160.68,4,2025-09-28
179,East,Sports & Fitness,2843.93,3,2025-09-13
180,East,Apparel,88.41,4,2025-09-09
181,North,Beauty & Personal Care,480.48,5,2025-11-11
182,East,Electronics,3672.03,1,2025-11-25
183,East,Pet Supplies,2095.54,4,2025-09-14
184,South,Electronics,6219.54,5,2025-11-11
185,South,Toys & Games,5320.24,1,2025-11-19
186,Central,Home,2817.39,3,2025-10-23
187,East,Groceries,3505.88,2,2025-10-19
188,Northeast,Groceries,238.92,3,2025-10-31
189,South,Beauty & Personal Care,4756.95,1,2025-10-25
190,North,Apparel,86.71,4,2025-11-03
191,Northeast,Toys & Games,280.56,3,2025-10-05
192,West,Electronics,4452.01,3,2025-11-05
193,North,Pharmacy,141.99,2,2025-11-16
194,South,Home,386.16,2,2025-10-18
195,South,Toys & Games,6750.16,3,2025-09-30
196,North,Toys & Games,3948.16,1,2025-09-06
197,East,Pet Supplies,2671.36,4,2025-11-30
198,North,Beauty & Personal Care,5672.08,3,2025-11-03
199,North,Toys & Games,3503.37,1,2025-10-02
200,West,Home,1761.0,5,2025-09-29
201,Northeast,Electronics,3120.31,2,2025-09-25
202,South,Electronics,118.79,1,2025-10-21
203,South,Sports & Fitness,3866.79,5,2025-11-12
204,Northeast,Pet Supplies,3798.22,4,2025-11-20
205,West,Home,278.3,3,2025-11-15
206,West,Sports & Fitness,1075.48,1,2025-10-26
207,Central,Pet Supplies,6438.63,1,2025-11-14
208,West,Pet Supplies,4260.25,1,2025-10-12
209,West,Electronics,1132.47,2,2025-10-14
210,North,Pharmacy,1690.6,3,2025-11-07
211,East,Toys & Games,892.74,3,2025-10-14
212,North,Beauty & Personal Care,2389.97,5,2025-11-05
213,South,Beauty & Personal Care,207.42,4,2025-11-05
214,South,Pet Supplies,3325.09,3,2025-09-11
215,South,Stationery & Books,3213.71,3,2025-11-05
216,East,Apparel,4147.03,2,2025-10-14
217,South,Apparel,4548.28,5,2025-10-18
218,North,Beauty & Personal Care,219.52,2,2025-11-19
219,South,Pet Supplies,827.69,3,2025-09-22
220,Northeast,Pharmacy,386.84,4,2025-11-18
221,South,Stationery & Books,1955.12,5,2025-10-30
222,West,Sports & Fitness,1715.44,2,2025-11-07
223,Central,Apparel,7055.88,5,2025-09-07
224,North,Stationery & Books,122.14,4,2025-10-07
225,Central,Apparel,2165.29,4,2025-09-12
226,East,Groceries,1112.04,2,2025-10-01
227,North,Beauty & Personal Care,1595.37,1,2025-11-23
228,East,Sports & Fitness,4018.33,5,2025-09-18
229,North,Electronics,4616.03,5,2025-10-21
230,Central,Toys & Games,104.83,2,2025-10-24
231,West,Pet Supplies,4248.72,5,2025-09-15
232,North,Stationery & Books,50.7,3,2025-09-19
233,South,Pet Supplies,4426.13,3,2025-11-25
234,North,Stationery & Books,443.0,1,2025-11-10
235,Northeast,Toys & Games,3178.2,1,2025-10-03
236,East,Pharmacy,311.86,3,2025-11-20
237,South,Groceries,1813.17,4,2025-10-14
238,Northeast,Sports & Fitness,399.29,4,2025-09-18
239,North,Home,2866.97,3,2025-10-21
240,Central,Toys & Games,774.66,2,2025-11-09
241,East,Beauty & Personal Care,2989.44,1,2025-09-07
242,East,Toys & Games,4221.52,4,2025-10-14
243,East,Stationery & Books,1091.95,5,2025-10-17
244,South,Stationery & Books,347.41,3,2025-09-14
245,West,Pet Supplies,3136.6,1,2025-09-22
246,Northeast,Beauty & Personal Care,6436.08,1,2025-10-06
247,North,Toys & Games,64.01,5,2025-11-26
248,Northeast,Sports & Fitness,340.32,3,2025-10-17
249,West,Pet Supplies,7616.18,3,2025-10-19
250,West,Electronics,2857.89,3,2025-11-07
251,South,Electronics,3402.41,5,2025-10-20
252,North,Home,7972.74,3,2025-11-30
253,Northeast,Sports & Fitness,3890.32,4,2025-10-19
254,North,Beauty & Personal Care,293.98,3,2025-11-30
255,South,Apparel,140.44,2,2025-09-29
256,South,Sports & Fitness,4005.54,5,2025-11-01
257,South,Pet Supplies,7996.96,4,2025-09-09
258,Central,Toys & Games,487.57,1,2025-11-13
259,West,Sports & Fitness,6351.97,5,2025-09-17
260,South,Apparel,4385.77,3,2025-09-08
261,South,Apparel,7556.78,3,2025-10-22
262,North,Home,331.26,5,2025-11-01
263,Central,Electronics,4854.85,2,2025-09-22
264,Northeast,Pet Supplies,7429.47,1,2025-11-17
265,North,Electronics,2484.92,2,2025-11-04
266,Central,Toys & Games,5203.73,3,2025-09-04
267,Northeast,Home,3901.58,1,2025-11-27
268,South,Sports & Fitness,1577.52,3,2025-09-27
269,Northeast,Beauty & Personal Care,4362.35,1,2025-09-17
270,East,Pharmacy,1556.58,1,2025-10-05
271,East,Toys & Games,7267.33,3,2025-10-02
272,Central,Beauty & Personal Care,4360.44,4,2025-10-20
273,East,Sports & Fitness,7750.15,2,2025-10-27
274,Central,Beauty & Personal Care,7117.55,4,2025-10-24
275,East,Stationery & Books,7118.42,3,2025-10-18
276,West,Beauty & Personal Care,1959.91,5,2025-10-16
277,East,Electronics,495.09,5,2025-11-10
278,North,Apparel,3242.05,2,2025-10-14
279,South,Pet Supplies,111.67,3,2025-09-06
280,West,Stationery & Books,1548.36,5,2025-11-17
281,East,Apparel,2744.26,3,2025-11-18
282,Central,Stationery & Books,4061.69,1,2025-11-30
283,East,Beauty & Personal Care,7240.75,1,2025-11-14
284,Central,Sports & Fitness,6321.22,5,2025-11-04
285,South,Groceries,5908.87,4,2025-09-22
286,South,Pharmacy,248.47,4,2025-10-18
287,South,Toys & Games,7046.13,1,2025-11-18
288,Northeast,Apparel,5466.7,5,2025-11-11
289,West,Beauty & Personal Care,3157.15,3,2025-11-08
290,Central,Sports & Fitness,184.32,3,2025-10-22
291,East,Pharmacy,4703.66,3,2025-10-11
292,East,Electronics,7851.2,3,2025-11-09
293,South,Home,3817.82,3,2025-10-17
294,Northeast,Sports & Fitness,302.91,3,2025-11-01
295,South,Electronics,72.84,5,2025-11-15
296,South,Pharmacy,4043.03,2,2025-10-28
297,North,Stationery & Books,7512.74,4,2025-09-21
298,West,Pharmacy,5344.23,1,2025-10-07
299,Northeast,Pet Supplies,1812.99,2,2025-10-16
300,North,Toys & Games,7715.99,3,2025-09-24
301,North,Groceries,492.35,3,2025-11-17
302,West,Stationery & Books,4010.16,2,2025-09-18
303,North,Beauty & Personal Care,5889.49,1,2025-10-29
304,Northeast,Beauty & Personal Care,1948.71,5,2025-11-12
305,Northeast,Toys & Games,351.17,2,2025-10-12
306,South,Sports & Fitness,222.61,4,2025-10-02
307,East,Beauty & Personal Care,344.16,2,2025-11-02
308,North,Electronics,4268.9,3,2025-09-21
309,Northeast,Electronics,2156.37,2,2025-10-08
310,West,Apparel,5764.56,4,2025-11-17
311,Central,Pharmacy,7048.51,1,2025-11-27
312,Central,Sports & Fitness,1341.57,5,2025-09-10
313,Central,Pharmacy,434.52,4,2025-09-20
314,North,Pharmacy,3841.12,1,2025-09-12
315,West,Apparel,258.07,3,2025-11-12
316,Northeast,Groceries,4837.33,1,2025-09-01
317,West,Beauty & Personal Care,7509.37,1,2025-11-09
318,West,Groceries,6243.71,4,2025-09-24
319,East,Toys & Games,5463.44,5,2025-09-11
320,South,Beauty & Personal Care,1455.1,2,2025-11-01
321,North,Groceries,3680.96,4,2025-11-26
322,South,Pharmacy,471.83,1,2025-09-20
323,North,Toys & Games,80.28,5,2025-09-03
324,North,Sports & Fitness,2335.51,1,2025-11-30
325,West,Sports & Fitness,6320.48,2,2025-10-21
326,Central,Home,4984.38,3,2025-11-02
327,South,Home,3601.7,3,2025-11-24
328,North,Stationery & Books,3704.0,4,2025-09-23
329,North,Beauty & Personal Care,4433.47,4,2025-11-25
330,West,Apparel,4051.39,2,2025-10-20
331,East,Apparel,7758.4,5,2025-09-08
332,Central,Apparel,341.02,4,2025-10-03
333,East,Electronics,219.73,5,2025-09-25
334,Central,Groceries,4906.88,5,2025-09-25
335,South,Sports & Fitness,7317.46,2,2025-10-25
336,South,Electronics,5778.26,4,2025-10-02
337,South,Stationery & Books,4502.38,3,2025-10-07
338,East,Home,5918.1,3,2025-09-13
339,South,Beauty & Personal Care,2159.56,2,2025-10-16
340,North,Home,3631.84,2,2025-11-14
341,South,Beauty & Personal Care,4244.76,3,2025-11-02
342,East,Sports & Fitness,3956.22,3,2025-11-22
343,South,Apparel,4566.03,1,2025-09-24
344,Central,Groceries,5511.62,1,2025-09-10
345,West,Apparel,117.96,2,2025-09-30
346,Central,Sports & Fitness,7504.28,4,2025-11-19
347,Northeast,Sports & Fitness,588.88,5,2025-11-01
348,Northeast,Home,415.92,4,2025-10-07
349,South,Electronics,136.37,5,2025-11-07
350,East,Beauty & Personal Care,481.68,4,2025-10-27
351,Central,Pharmacy,422.63,1,2025-09-29
352,Northeast,Groceries,4070.04,1,2025-10-27
353,Northeast,Apparel,2984.53,1,2025-10-28
354,Central,Groceries,849.21,1,2025-11-02
355,Northeast,Home,1845.16,3,2025-11-12
356,North,Pharmacy,303.78,5,2025-09-10
357,West,Stationery & Books,5669.83,1,2025-09-18
358,Central,Beauty & Personal Care,84.21,5,2025-10-28
359,Central,Pet Supplies,173.0,4,2025-10-12
360,West,Pharmacy,5455.04,1,2025-09-24
361,Central,Home,119.4,2,2025-09-10
362,Northeast,Toys & Games,474.33,4,2025-09-14
363,East,Home,251.98,5,2025-10-17
364,Central,Toys & Games,1197.98,5,2025-10-17
365,East,Toys & Games,1135.25,5,2025-10-28
366,South,Pet Supplies,1541.3,3,2025-11-27
367,East,Sports & Fitness,3658.27,4,2025-10-20
368,North,Beauty & Personal Care,4218.52,5,2025-10-22
369,South,Sports & Fitness,228.06,5,2025-10-24
370,West,Beauty & Personal Care,1520.93,3,2025-11-23
371,Central,Pharmacy,7765.44,3,2025-09-23
372,Northeast,Sports & Fitness,2602.25,4,2025-10-02
373,East,Electronics,4592.22,5,2025-09-26
374,North,Sports & Fitness,2684.98,1,2025-09-27
375,West,Sports & Fitness,346.4,4,2025-10-24
376,West,Electronics,3506.04,5,2025-11-16
377,Northeast,Toys & Games,4526.79,1,2025-11-29
378,North,Pharmacy,832.23,4,2025-09-22
379,East,Toys & Games,279.8,5,2025-10-18
380,Central,Pet Supplies,3433.51,5,2025-09-29
381,Northeast,Stationery & Books,2715.74,1,2025-10-15
382,North,Apparel,2051.5,4,2025-10-25
383,East,Sports & Fitness,2751.98,1,2025-10-29
384,North,Beauty & Personal Care,7474.42,2,2025-11-26
385,Central,Apparel,7688.47,2,2025-10-13
386,West,Apparel,718.94,5,2025-11-05
387,South,Sports & Fitness,2043.38,1,2025-09-01
388,Central,Electronics,196.69,4,2025-11-08
389,North,Home,2850.53,4,2025-11-07
390,Central,Toys & Games,353.11,3,2025-11-19
391,Central,Pet Supplies,2289.3,1,2025-10-19
392,South,Beauty & Personal Care,222.67,2,2025-11-16
393,West,Stationery & Books,1799.26,2,2025-11-22
394,West,Home,5145.57,3,2025-10-25
395,North,Sports & Fitness,4290.79,4,2025-10-27
396,West,Sports & Fitness,63.89,2,2025-09-22
397,East,Groceries,401.33,5,2025-11-08
398,Northeast,Sports & Fitness,2509.17,5,2025-09-15
399,East,Stationery & Books,3810.25,2,2025-09-06
400,West,Electronics,2732.82,1,2025-11-23
401,West,Home,7954.68,2,2025-09-12
402,South,Pet Supplies,3711.25,5,2025-11-30
403,South,Pharmacy,4492.11,5,2025-09-08
404,Central,Apparel,170.3,5,2025-10-24
405,Northeast,Electronics,7943.65,2,2025-10-28
406,Northeast,Apparel,6211.05,4,2025-10-25
407,West,Apparel,3313.79,1,2025-10-05
408,Northeast,Electronics,7079.88,4,2025-10-06
409,West,Beauty & Personal Care,3938.37,3,2025-09-12
410,North,Stationery & Books,2921.49,3,2025-09-28
411,East,Stationery & Books,6412.28,1,2025-11-12
412,North,Electronics,435.94,4,2025-09-03
413,West,Groceries,7320.55,3,2025-09-26
414,South,Home,217.33,2,2025-10-26
415,North,Toys & Games,3719.23,1,2025-11-29
416,Northeast,Electronics,317.16,5,2025-10-30
417,Northeast,Sports & Fitness,7911.16,4,2025-10-25
418,Northeast,Apparel,5980.73,1,2025-09-30
419,North,Beauty & Personal Care,398.06,2,2025-10-09
420,Northeast,Apparel,342.51,4,2025-11-02
421,East,Pharmacy,5120.57,4,2025-09-20
422,South,Electronics,4921.8,4,2025-09-18
423,East,Toys & Games,340.08,2,2025-10-19
424,Central,Pet Supplies,473.58,1,2025-11-17
425,Northeast,Home,6108.83,3,2025-11-03
426,Northeast,Groceries,1345.58,4,2025-10-01
427,Northeast,Pet Supplies,7504.43,2,2025-10-15
428,West,Pet Supplies,6220.44,1,2025-11-09
429,North,Pet Supplies,465.16,4,2025-10-23
430,Central,Home,5304.03,5,2025-11-29
431,Central,Apparel,464.42,2,2025-10-24
432,Central,Beauty & Personal Care,5373.8,1,2025-11-21
433,East,Toys & Games,88.8,4,2025-10-01
434,North,Sports & Fitness,6062.7,2,2025-09-08
435,North,Groceries,273.39,3,2025-11-29
436,Central,Stationery & Books,107.12,3,2025-10-04
437,Northeast,Electronics,3719.93,5,2025-09-04
438,North,Home,4221.11,5,2025-11-13
439,East,Groceries,120.79,1,2025-11-12
440,Central,Electronics,436.41,1,2025-10-31
441,South,Groceries,482.15,1,2025-09-20
442,Central,Toys & Games,5902.16,3,2025-10-22
443,North,Pet Supplies,1845.08,5,2025-11-26
444,North,Toys & Games,6301.46,3,2025-10-29
445,East,Electronics,2686.96,3,2025-09-02
446,Northeast,Pet Supplies,4200.21,2,2025-10-26
447,Northeast,Stationery & Books,469.58,1,2025-10-02
448,South,Stationery & Books,7632.43,1,2025-11-28
449,Northeast,Toys & Games,288.42,2,2025-10-10
450,West,Sports & Fitness,1197.7,2,2025-09-19
451,Central,Toys & Games,4290.71,4,2025-09-11
452,North,Pet Supplies,2275.79,3,2025-11-24
453,East,Toys & Games,2539.67,1,2025-10-12
454,South,Apparel,97.55,4,2025-11-14
455,West,Beauty & Personal Care,6277.53,4,2025-11-08
456,East,Sports & Fitness,413.42,3,2025-10-18
457,Northeast,Pet Supplies,370.02,3,2025-10-25
458,West,Stationery & Books,495.8,1,2025-10-24
459,West,Sports & Fitness,257.92,2,2025-11-10
460,North,Groceries,420.65,3,2025-10-22
461,Northeast,Electronics,1062.4,1,2025-10-04
462,South,Sports & Fitness,6720.17,3,2025-09-12
463,North,Groceries,308.25,4,2025-09-07
464,West,Groceries,7312.28,3,2025-09-23
465,East,Sports & Fitness,5127.33,3,2025-09-05
466,West,Toys & Games,222.36,4,2025-09-08
467,South,Stationery & Books,7920.53,3,2025-11-01
468,West,Stationery & Books,3412.86,2,2025-11-12
469,North,Beauty & Personal Care,6339.04,1,2025-09-04
470,West,Stationery & Books,7804.85,1,2025-11-14
471,South,Pharmacy,7608.52,5,2025-10-16
472,West,Beauty & Personal Care,316.63,3,2025-09-23
473,Central,Groceries,4723.32,2,2025-11-12
474,West,Stationery & Books,154.68,2,2025-09-05
475,North,Stationery & Books,2010.98,2,2025-10-13
476,East,Apparel,116.47,2,2025-10-12
477,North,Stationery & Books,7564.42,4,2025-09-10
478,Central,Electronics,120.88,4,2025-10-12
479,Northeast,Sports & Fitness,4714.83,5,2025-09-23
480,East,Pharmacy,6004.96,3,2025-09-23
481,South,Apparel,3437.01,5,2025-11-29
482,North,Apparel,304.5,4,2025-11-18
483,South,Beauty & Personal Care,2896.39,1,2025-10-01
484,Northeast,Beauty & Personal Care,361.93,3,2025-10-04
485,East,Electronics,5994.38,2,2025-09-07
486,West,Sports & Fitness,6716.05,5,2025-11-09
487,Northeast,Pharmacy,750.6,1,2025-10-17
488,East,Home,7159.48,2,2025-09-10
489,Northeast,Electronics,7889.57,4,2025-09-12
490,Northeast,Groceries,450.39,2,2025-11-23
491,North,Electronics,4655.84,5,2025-10-21
492,East,Home,307.3,4,2025-09-13
493,South,Groceries,347.91,5,2025-09-12
494,West,Pharmacy,181.32,1,2025-10-21
495,West,Electronics,7211.58,3,2025-10-27
496,North,Stationery & Books,2474.72,4,2025-09-24
497,East,Pharmacy,388.51,1,2025-11-12
498,North,Beauty & Personal Care,77.44,4,2025-11-15
499,Central,Toys & Games,4061.18,2,2025-11-27
500,West,Home,7253.41,5,2025-10-16
501,Northeast,Pet Supplies,492.97,2,2025-10-29
502,South,Apparel,3765.45,2,2025-10-17
503,Central,Home,300.36,5,2025-09-09
504,East,Home,5172.93,5,2025-09-02
505,West,Electronics,4870.08,1,2025-09-19
506,North,Pet Supplies,7101.02,4,2025-10-07
507,East,Toys & Games,780.99,3,2025-11-13
508,West,Apparel,790.87,3,2025-11-27
509,Northeast,Pharmacy,7227.74,1,2025-10-30
510,East,Home,7793.72,2,2025-11-29
511,South,Home,237.55,1,2025-10-12
512,South,Sports & Fitness,6196.2,3,2025-10-28
513,North,Stationery & Books,4300.96,2,2025-09-09
514,Central,Pet Supplies,2005.45,1,2025-10-21
515,South,Groceries,215.76,4,2025-11-30
516,Central,Toys & Games,2314.54,4,2025-09-16
517,Central,Sports & Fitness,3123.2,2,2025-10-30
518,East,Electronics,434.22,2,2025-10-27
519,South,Pharmacy,4349.61,1,2025-10-05
520,West,Apparel,2178.28,5,2025-11-16
521,East,Home,185.97,5,2025-10-03
522,Central,Toys & Games,5467.67,3,2025-09-01
523,Central,Pet Supplies,4113.04,3,2025-10-09
524,East,Beauty & Personal Care,7641.41,3,2025-10-04
525,South,Apparel,6540.72,5,2025-10-01
526,West,Beauty & Personal Care,7981.02,3,2025-09-04
527,West,Toys & Games,7960.65,2,2025-09-05
528,East,Pharmacy,7298.95,3,2025-11-21
529,Central,Home,1858.52,1,2025-11-24
530,West,Apparel,1873.01,3,2025-11-11
531,Northeast,Electronics,2803.14,3,2025-10-22
532,East,Home,6997.95,5,2025-09-16
533,Central,Pet Supplies,7006.23,4,2025-10-21
534,Central,Home,140.13,4,2025-09-20
535,Central,Sports & Fitness,4156.86,2,2025-10-20
536,East,Groceries,398.09,5,2025-10-23
537,South,Sports & Fitness,245.17,4,2025-09-12
538,West,Toys & Games,139.74,3,2025-09-01
539,North,Beauty & Personal Care,354.54,2,2025-11-07
540,South,Beauty & Personal Care,4915.03,2,2025-10-18
541,North,Groceries,4402.16,5,2025-10-08
542,East,Toys & Games,7260.38,3,2025-09-18
543,South,Apparel,377.23,2,2025-09-03
544,South,Groceries,370.0,1,2025-09-22
545,West,Home,497.61,1,2025-11-19
546,Northeast,Groceries,3351.9,5,2025-10-18
547,East,Sports & Fitness,5227.34,3,2025-09-27
548,West,Electronics,5755.45,4,2025-10-05
549,North,Stationery & Books,403.14,4,2025-09-16
550,South,Pet Supplies,7798.4,3,2025-10-23
551,Northeast,Toys & Games,7327.67,4,2025-10-16
552,East,Pharmacy,99.69,5,2025-11-05
553,Northeast,Sports & Fitness,1062.86,1,2025-10-17
